Region,Soil_Type,Crop,Rainfall_mm,Temperature_C,Fertilizer_kg,Yield_per_hectare
Maharashtra,Clay,Wheat,619.3,26.3,150.8,2.96
Telangana,Clay,Wheat,829.1,38.0,199.4,2.72
Maharashtra,Sandy,Cotton,566.2,25.6,60.3,1.29
Punjab,Clay,Wheat,733.5,27.6,141.8,3.8
Maharashtra,Sandy,Rice,965.9,21.7,181.7,2.49
Andhra Pradesh,Sandy,Rice,836.2,32.1,157.6,2.38
Punjab,Sandy,Wheat,500.4,32.7,57.6,2.59
Telangana,Clay,Wheat,766.8,24.1,197.0,2.82
Punjab,Sandy,Maize,624.4,12.8,191.8,3.6
Telangana,Sandy,Cotton,1017.3,31.3,72.2,1.31
Telangana,Loamy,Wheat,1049.5,25.4,87.4,3.35
Andhra Pradesh,Sandy,Maize,1162.9,26.6,74.4,3.93
Telangana,Loamy,Cotton,689.7,36.8,167.4,2.5
Andhra Pradesh,Loamy,Cotton,1093.7,24.6,180.8,3.0
Punjab,Clay,Cotton,539.9,30.5,180.7,1.76
Maharashtra,Loamy,Cotton,639.3,21.1,166.0,2.42
Maharashtra,Sandy,Maize,969.6,21.8,195.6,2.94
Telangana,Clay,Wheat,898.3,27.5,168.0,3.22
Andhra Pradesh,Loamy,Rice,827.4,33.6,50.3,5.0
Punjab,Loamy,Cotton,428.0,26.6,99.5,2.32
Maharashtra,Sandy,Rice,753.6,30.7,98.9,2.94
Punjab,Clay,Cotton,666.0,19.5,162.2,1.75
Telangana,Loamy,Wheat,751.9,25.4,167.9,4.02
Punjab,Loamy,Wheat,576.9,15.3,121.0,4.4
Telangana,Sandy,Cotton,741.9,32.6,142.9,1.2
Maharashtra,Sandy,Cotton,612.3,23.2,53.7,1.31
Telangana,Sandy,Maize,827.7,36.2,136.4,3.71
Punjab,Loamy,Maize,497.6,26.4,50.8,5.53
Andhra Pradesh,Loamy,Rice,787.9,37.4,127.7,3.69
Punjab,Clay,Cotton,453.3,21.6,129.7,2.07
Punjab,Loamy,Wheat,732.2,23.7,184.6,4.22
Maharashtra,Loamy,Maize,875.9,33.4,91.6,5.7
Andhra Pradesh,Sandy,Maize,837.3,24.2,92.9,3.04
Telangana,Sandy,Wheat,669.2,25.7,154.1,2.73
Punjab,Loamy,Rice,532.4,21.6,59.3,4.79
Telangana,Sandy,Maize,1028.4,34.2,107.1,2.7
Punjab,Loamy,Wheat,741.4,33.8,112.9,4.22
Andhra Pradesh,Loamy,Cotton,836.5,30.3,108.3,2.8
Andhra Pradesh,Sandy,Maize,1120.3,36.8,197.1,3.52
Telangana,Sandy,Maize,642.0,28.9,180.0,2.85
Maharashtra,Loamy,Wheat,605.8,25.2,164.2,3.63
Telangana,Loamy,Maize,835.2,34.0,57.8,6.0
Telangana,Sandy,Cotton,990.6,32.4,163.1,2.0
Andhra Pradesh,Clay,Cotton,819.3,30.1,67.2,2.5
Maharashtra,Sandy,Maize,883.4,22.7,141.1,3.77
Maharashtra,Clay,Rice,554.0,20.4,96.8,4.06
Andhra Pradesh,Loamy,Maize,738.0,33.4,144.1,4.31
Telangana,Sandy,Wheat,998.1,31.1,56.2,2.62
Maharashtra,Clay,Wheat,506.3,26.7,123.5,3.1
Punjab,Sandy,Wheat,682.9,20.9,160.1,3.0
Punjab,Sandy,Wheat,585.9,30.6,138.9,2.24
Maharashtra,Clay,Cotton,940.8,23.9,119.7,2.27
Telangana,Loamy,Maize,847.2,27.2,123.1,4.84
Maharashtra,Loamy,Wheat,940.2,31.2,91.4,3.18
Andhra Pradesh,Clay,Cotton,1060.0,30.3,163.7,2.39
Telangana,Loamy,Maize,646.5,25.5,153.8,4.69
Maharashtra,Loamy,Wheat,712.8,31.9,99.6,4.15
Maharashtra,Loamy,Wheat,615.3,31.5,97.3,4.18
Andhra Pradesh,Clay,Cotton,1069.3,27.1,138.4,2.46
Andhra Pradesh,Clay,Wheat,848.1,28.4,95.3,3.55
Telangana,Loamy,Cotton,1087.1,30.9,154.6,2.33
Telangana,Clay,Maize,887.0,29.5,116.1,3.92
Punjab,Loamy,Rice,445.6,11.6,123.8,4.38
Andhra Pradesh,Clay,Rice,1105.6,37.2,62.8,3.58
Andhra Pradesh,Sandy,Maize,1087.8,28.7,186.3,3.15
Telangana,Loamy,Maize,904.8,33.8,192.1,4.57
Telangana,Loamy,Cotton,678.5,24.8,61.3,2.09
Punjab,Sandy,Maize,516.5,15.8,156.0,3.59
Andhra Pradesh,Clay,Maize,1162.0,34.8,143.8,4.72
Telangana,Loamy,Cotton,872.3,32.4,186.3,2.97
Andhra Pradesh,Clay,Rice,1096.3,31.9,173.6,4.5
Punjab,Clay,Maize,675.5,27.5,191.4,4.33
Telangana,Loamy,Maize,899.0,36.2,160.2,5.36
Andhra Pradesh,Clay,Rice,1181.0,35.5,136.3,4.5
Telangana,Sandy,Wheat,981.6,24.8,127.8,2.51
Punjab,Clay,Wheat,653.9,22.3,63.7,3.03
Telangana,Loamy,Wheat,1028.9,27.3,154.1,3.62
Telangana,Sandy,Maize,827.4,27.0,98.5,4.0
Telangana,Sandy,Maize,928.8,30.7,112.0,2.94
Punjab,Sandy,Wheat,650.2,29.0,80.5,2.53
Punjab,Loamy,Wheat,448.6,34.3,141.3,3.37
Telangana,Loamy,Cotton,876.1,23.5,198.8,3.0
Andhra Pradesh,Clay,Maize,949.2,33.7,126.3,4.07
Andhra Pradesh,Loamy,Maize,928.4,25.2,78.6,5.36
Maharashtra,Clay,Cotton,886.3,33.7,101.0,2.43
Maharashtra,Clay,Wheat,863.0,33.4,137.0,3.5
Punjab,Loamy,Cotton,538.0,23.8,131.5,2.5
Andhra Pradesh,Clay,Wheat,985.9,26.5,166.3,2.73
Punjab,Sandy,Maize,554.4,26.6,173.1,4.0
Andhra Pradesh,Clay,Maize,951.1,31.9,180.5,4.98
Punjab,Clay,Maize,406.1,13.6,180.6,4.96
Maharashtra,Loamy,Rice,669.3,31.1,147.5,4.86
Punjab,Loamy,Maize,749.0,10.9,60.3,5.37
Telangana,Clay,Wheat,817.0,23.6,145.1,3.76
Maharashtra,Clay,Maize,951.7,20.7,169.4,4.11
Andhra Pradesh,Loamy,Wheat,822.1,29.2,152.3,3.4
Punjab,Clay,Cotton,647.9,16.0,186.9,1.72
Maharashtra,Sandy,Maize,729.8,30.7,184.8,3.3
Andhra Pradesh,Sandy,Wheat,736.9,37.2,198.1,2.26
Maharashtra,Sandy,Maize,728.4,24.8,199.9,3.88
Punjab,Clay,Rice,628.8,24.4,198.9,3.51
Telangana,Loamy,Maize,883.0,33.0,161.7,4.24
Andhra Pradesh,Loamy,Maize,1003.5,28.3,145.5,5.42
Telangana,Sandy,Cotton,1051.7,32.3,96.3,1.64
Andhra Pradesh,Sandy,Wheat,745.1,27.4,162.1,2.11
Maharashtra,Sandy,Cotton,765.4,34.6,174.6,1.37
Maharashtra,Loamy,Maize,902.1,27.5,61.3,5.66
Punjab,Sandy,Cotton,786.9,30.1,104.9,1.91
Telangana,Loamy,Rice,827.4,32.8,150.9,4.51
Andhra Pradesh,Clay,Wheat,935.7,32.3,191.5,3.09
Telangana,Sandy,Cotton,917.7,29.4,155.2,1.8
Telangana,Clay,Rice,1073.1,26.9,123.9,3.35
Punjab,Loamy,Cotton,548.4,33.7,154.5,2.58
Telangana,Loamy,Cotton,1016.8,31.9,190.9,2.46
Punjab,Clay,Wheat,577.9,15.9,104.4,3.8
Maharashtra,Sandy,Wheat,530.3,24.4,195.2,2.98
Andhra Pradesh,Clay,Maize,1020.9,32.0,53.2,4.87
Andhra Pradesh,Clay,Cotton,734.3,34.5,81.1,1.82
Andhra Pradesh,Loamy,Cotton,1094.3,31.9,91.6,3.0
Maharashtra,Sandy,Cotton,899.3,21.8,180.0,1.28
Maharashtra,Clay,Wheat,507.9,24.2,69.0,3.08
Telangana,Sandy,Rice,838.1,34.4,127.0,2.26
Telangana,Sandy,Cotton,963.6,36.5,148.8,1.47
Punjab,Clay,Rice,738.9,20.7,66.2,4.17
Telangana,Clay,Maize,761.1,24.4,68.9,4.54
Maharashtra,Loamy,Wheat,726.9,29.7,64.9,4.15
Punjab,Loamy,Cotton,755.2,20.3,174.1,2.51
Punjab,Loamy,Rice,525.0,16.4,193.0,4.57
Telangana,Clay,Maize,1015.9,23.5,64.5,4.79
Telangana,Sandy,Cotton,893.2,31.0,99.4,1.27
Punjab,Sandy,Wheat,747.2,28.0,195.3,2.62
Andhra Pradesh,Clay,Wheat,777.4,30.2,177.1,3.07
Maharashtra,Clay,Wheat,787.1,32.9,176.8,3.8
Maharashtra,Sandy,Rice,514.5,24.4,164.4,3.14
Andhra Pradesh,Clay,Wheat,1134.9,31.5,110.1,2.9
Andhra Pradesh,Clay,Rice,888.1,29.8,73.6,3.61
Telangana,Sandy,Wheat,1041.7,24.5,163.2,2.05
Punjab,Loamy,Rice,664.8,22.1,116.3,3.99
Punjab,Loamy,Rice,444.4,27.0,139.0,4.3
Andhra Pradesh,Clay,Wheat,897.6,32.0,51.2,3.04
Maharashtra,Clay,Cotton,644.7,21.9,124.6,2.0
Andhra Pradesh,Loamy,Cotton,950.1,35.5,170.9,2.24
Telangana,Loamy,Rice,829.9,23.2,97.0,4.27
Punjab,Sandy,Maize,515.8,20.1,194.9,2.79
Maharashtra,Sandy,Maize,544.1,33.5,86.5,3.43
Maharashtra,Loamy,Rice,872.9,23.5,166.9,3.76
Andhra Pradesh,Sandy,Rice,1153.0,28.2,159.1,3.2
Telangana,Clay,Cotton,673.2,25.2,140.4,2.34
Punjab,Clay,Rice,585.6,24.1,136.9,4.08
Maharashtra,Sandy,Wheat,575.5,21.1,116.3,2.22
Telangana,Sandy,Wheat,776.0,23.2,119.3,1.96
Telangana,Loamy,Wheat,922.3,37.6,63.5,4.05
Telangana,Loamy,Maize,824.9,35.0,147.8,4.77
Andhra Pradesh,Sandy,Maize,1178.9,29.8,171.6,3.99
Andhra Pradesh,Sandy,Rice,719.6,33.6,198.6,2.72
Maharashtra,Loamy,Cotton,959.0,26.2,166.2,2.85
Maharashtra,Sandy,Rice,533.0,21.5,151.8,2.38
Telangana,Loamy,Cotton,891.4,24.3,102.5,3.0
Telangana,Clay,Maize,754.8,28.0,168.7,4.83
Punjab,Sandy,Rice,603.4,10.5,96.3,3.2
Andhra Pradesh,Loamy,Wheat,813.3,25.1,61.6,4.39
Telangana,Sandy,Rice,931.0,36.0,142.7,2.88
Andhra Pradesh,Clay,Cotton,1115.7,34.6,171.4,1.88
Punjab,Clay,Maize,545.7,28.0,195.4,4.46
Andhra Pradesh,Clay,Maize,854.7,35.1,120.4,4.89
Punjab,Sandy,Wheat,584.7,17.0,107.3,2.49
Andhra Pradesh,Clay,Cotton,1136.5,23.8,122.1,2.09
Telangana,Sandy,Rice,742.5,34.2,90.9,3.19
Telangana,Loamy,Cotton,1073.2,25.6,117.7,2.55
Telangana,Loamy,Rice,798.2,28.0,107.9,3.74
Maharashtra,Clay,Cotton,965.4,33.4,147.5,2.46
Maharashtra,Clay,Cotton,958.7,27.6,174.7,2.43
Telangana,Loamy,Maize,1052.9,22.3,82.3,4.49
Maharashtra,Clay,Maize,618.8,21.9,85.8,4.52
Telangana,Clay,Maize,1018.3,30.0,130.4,4.63
Andhra Pradesh,Sandy,Cotton,845.6,23.0,102.9,1.7
Telangana,Sandy,Cotton,861.7,27.8,193.0,1.68
Punjab,Loamy,Rice,417.4,19.7,106.0,4.63
Maharashtra,Clay,Wheat,620.6,30.5,65.5,3.32
Telangana,Clay,Wheat,776.1,27.4,146.4,3.69
Punjab,Sandy,Maize,652.7,30.3,59.5,3.74
Maharashtra,Clay,Maize,600.8,32.7,182.9,4.03
Punjab,Sandy,Wheat,795.6,23.6,88.0,2.82
Maharashtra,Loamy,Cotton,931.1,20.8,148.4,2.43
Punjab,Loamy,Wheat,697.3,32.4,108.0,4.5
Punjab,Sandy,Maize,546.9,29.9,90.0,2.67
Punjab,Clay,Maize,641.0,30.6,131.8,4.05
Maharashtra,Loamy,Rice,653.2,29.6,113.9,4.61
Telangana,Loamy,Wheat,963.4,36.6,142.2,3.82
Punjab,Clay,Rice,545.3,30.0,151.9,4.47
Punjab,Sandy,Cotton,413.9,11.7,166.8,1.37
Telangana,Sandy,Maize,902.5,32.9,192.3,3.21
Andhra Pradesh,Sandy,Rice,964.7,29.0,147.4,2.47
Andhra Pradesh,Clay,Rice,949.5,28.8,134.3,3.56
Punjab,Sandy,Wheat,485.8,25.3,154.1,3.0
Andhra Pradesh,Clay,Cotton,1126.4,29.8,184.8,2.16
Maharashtra,Sandy,Rice,833.9,31.4,132.5,2.48
Andhra Pradesh,Clay,Wheat,1096.8,30.6,68.2,2.97
Punjab,Clay,Cotton,410.5,23.9,105.3,2.31
Telangana,Sandy,Cotton,632.9,28.4,157.5,1.55
Telangana,Loamy,Maize,662.7,27.1,61.1,5.01
Andhra Pradesh,Clay,Wheat,1083.9,24.9,125.4,3.8
Andhra Pradesh,Sandy,Rice,852.1,25.4,190.2,2.41
Maharashtra,Clay,Wheat,598.2,35.3,91.2,3.37
Andhra Pradesh,Sandy,Rice,995.9,31.7,75.7,2.93
Telangana,Sandy,Wheat,1012.6,22.5,56.8,2.75
Andhra Pradesh,Sandy,Wheat,1083.5,29.2,145.8,2.6
Maharashtra,Sandy,Wheat,741.5,32.9,152.7,2.26
Telangana,Sandy,Rice,679.0,28.6,119.7,2.49
Maharashtra,Loamy,Cotton,867.1,33.8,196.3,2.27
Telangana,Sandy,Wheat,759.6,29.5,90.1,2.21
Maharashtra,Clay,Rice,972.7,33.8,112.7,4.5
Maharashtra,Loamy,Cotton,594.9,22.5,199.4,2.53
Telangana,Loamy,Wheat,645.0,28.3,118.6,3.43
Telangana,Clay,Wheat,740.7,31.6,176.4,3.48
Telangana,Sandy,Wheat,1023.6,28.9,182.4,2.86
Telangana,Loamy,Maize,800.3,31.1,79.2,5.23
Punjab,Loamy,Rice,705.8,17.0,198.4,4.61
Telangana,Clay,Rice,797.0,34.7,100.9,4.5
Punjab,Clay,Cotton,600.0,11.1,70.6,1.89
Punjab,Sandy,Maize,459.6,32.3,71.0,3.91
Punjab,Clay,Wheat,796.2,28.5,94.9,3.06
Maharashtra,Sandy,Maize,737.4,20.3,99.7,2.77
Maharashtra,Sandy,Maize,898.4,31.6,153.2,2.69
Andhra Pradesh,Loamy,Maize,1060.7,31.8,75.6,5.46
Andhra Pradesh,Clay,Maize,715.8,37.2,66.5,3.62
Andhra Pradesh,Loamy,Wheat,906.5,26.1,125.3,4.07
Telangana,Sandy,Maize,952.9,30.3,134.1,4.0
Punjab,Sandy,Maize,525.5,14.3,186.8,3.05
Maharashtra,Sandy,Wheat,805.0,23.1,87.0,2.59
Maharashtra,Loamy,Cotton,852.5,31.0,123.4,2.62
Telangana,Loamy,Wheat,886.7,30.7,184.4,3.74
Maharashtra,Clay,Wheat,521.0,35.3,61.9,3.74
Punjab,Sandy,Wheat,485.6,30.7,90.7,2.5
Telangana,Clay,Wheat,907.8,31.4,86.4,3.52
Andhra Pradesh,Sandy,Cotton,726.2,29.2,157.6,1.2
Andhra Pradesh,Clay,Cotton,903.5,37.0,181.8,2.13
Maharashtra,Loamy,Cotton,642.7,20.9,165.3,2.73
Telangana,Sandy,Cotton,1056.6,24.8,182.3,1.37
Punjab,Loamy,Rice,474.5,28.7,180.8,3.96
Maharashtra,Clay,Rice,784.0,21.7,197.4,3.54
Punjab,Clay,Maize,509.1,30.2,99.6,4.63
Andhra Pradesh,Sandy,Wheat,707.0,28.1,94.3,2.7
Punjab,Clay,Cotton,730.8,22.9,63.0,2.27
Punjab,Clay,Cotton,529.4,16.2,89.1,1.77
Maharashtra,Loamy,Wheat,791.2,29.2,89.2,3.66
Telangana,Clay,Cotton,832.7,24.6,152.9,2.5
Telangana,Sandy,Wheat,919.4,37.1,105.1,2.22
Andhra Pradesh,Loamy,Cotton,927.5,37.8,106.0,2.86
Andhra Pradesh,Sandy,Maize,1080.9,33.2,139.4,3.89
Maharashtra,Sandy,Maize,539.1,29.0,59.3,3.36
Andhra Pradesh,Sandy,Cotton,782.3,35.8,116.3,1.79
Punjab,Clay,Maize,723.5,21.3,127.0,4.28
Punjab,Sandy,Rice,669.1,17.7,53.3,2.39
Andhra Pradesh,Sandy,Rice,989.2,23.7,101.7,2.25
Punjab,Clay,Rice,412.7,20.2,165.3,4.15
Punjab,Loamy,Maize,579.4,32.9,106.6,4.21
Maharashtra,Sandy,Cotton,559.3,35.9,109.0,1.18
Telangana,Clay,Cotton,1089.2,29.4,157.9,2.13
Andhra Pradesh,Clay,Maize,930.3,25.3,78.3,4.97
Punjab,Clay,Rice,646.0,33.4,183.4,3.43
Telangana,Clay,Rice,823.2,32.8,180.8,3.49
Punjab,Loamy,Rice,493.7,15.4,179.6,3.61
